puzzle_id,prompt_style,book_move,generated_move,topprob_move,book_move_rank,book_move_logprob,topprob_logprob,generated_move_logprob,margin_book_vs_top,book_move_in_top1,book_move_in_top3,book_move_in_top5,generated_equals_topprob
itDJv,brief,g2f1,d5c6,d5c6,3,-18.96875,-16.4921875,-16.4921875,-2.4765625,False,True,True,True
WWNuA,brief,h7h8,e2e1,h7h8,1,-12.6171875,-12.6171875,-13.02734375,0.0,True,True,True,False
27mZU,brief,b4e1,d4d3,d4d3,5,-23.65625,-15.6015625,-15.6015625,-8.0546875,False,False,True,True
GjeRT,brief,g4f3,e1e5,e1e5,7,-18.6796875,-11.6484375,-11.6484375,-7.03125,False,False,False,True
vDBk4,brief,b7b5,c5c4,c5c4,2,-17.5703125,-16.5,-16.5,-1.0703125,False,True,True,True
dZAWw,brief,b8b6,f7f4,g8h8,5,-19.8125,-13.517578125,-22.578125,-6.294921875,False,False,True,False
QwfQg,brief,e2e4,e2e8,e2e4,1,-6.595703125,-6.595703125,-15.67578125,0.0,True,True,True,False
qddOZ,brief,d4c5,d4f2,g7g6,2,-14.619140625,-13.38916015625,-22.0234375,-1.22998046875,False,True,True,False
LQ1DK,brief,e6e5,e6e5,e6e5,1,-14.9210205078125,-14.9210205078125,-14.9210205078125,0.0,True,True,True,True
Aveae,brief,e6e5,c6c5,c6c5,2,-14.56640625,-14.28466796875,-14.28466796875,-0.28173828125,False,True,True,True
Uvvcu,brief,c7c8q,d7d8q,d7d8,6,-23.4375,-10.375,-20.875,-13.0625,False,False,False,False
ki2l1,brief,c2c5,f4f3,c2c5,1,-17.84375,-17.84375,-19.8828125,0.0,True,True,True,False
MJWFH,brief,b5b4,d4c3,d4c3,4,-19.171875,-16.859375,-16.859375,-2.3125,False,False,True,True
DdeT2,brief,b4b3,d2d1,d2d1,6,-18.5703125,-9.794921875,-9.794921875,-8.775390625,False,False,False,True
T3WAo,brief,g7b7,d6d7,g7g8,7,-19.55859375,-13.3984375,-15.9375,-6.16015625,False,False,False,False
T1Yv7,brief,c4b5,c4c3,c4d5,4,-20.8671875,-19.5859375,-20.2265625,-1.28125,False,False,True,False
p2RG8,brief,a5b4,a7a8q,e3c4,4,-21.69921875,-18.171875,-27.046875,-3.52734375,False,False,True,False
gXW2k,brief,b3b2,c3c2,c3c2,7,-24.453125,-16.359375,-16.359375,-8.09375,False,False,False,True
xQNjx,brief,e3h3,e3e6,e7e8,5,-20.625,-11.796875,-22.921875,-8.828125,False,False,True,False
shDt9,brief,f5f6,f5f6,f4e5,2,-18.8671875,-17.11328125,-18.8671875,-1.75390625,False,True,True,False
y4vck,brief,f3e4,g6g7,f3e4,1,-17.54296875,-17.54296875,-18.654296875,0.0,True,True,True,False
mWLmD,brief,g4d1,g3h2,g4f3,6,-23.515625,-18.216796875,-20.5546875,-5.298828125,False,False,False,False
TbN5O,brief,d3e5,d3c5,g7g5,4,-18.53125,-15.34375,-17.34375,-3.1875,False,False,True,False
vJaUr,brief,b3b8,b2b1q,a8a7,4,-28.84375,-15.08935546875,-26.734375,-13.75439453125,False,False,True,False
ayVZn,brief,d7c6,a6a5,d7d8,2,-12.45703125,-11.6875,-19.703125,-0.76953125,False,True,True,False
Jvi0t,brief,g5g4,f3e4,g5g4,1,-16.9765625,-16.9765625,-17.68359375,0.0,True,True,True,False
ON7OP,brief,b4b5,b4b5,b4b5,1,-16.4384765625,-16.4384765625,-16.4384765625,0.0,True,True,True,True
LIlmt,brief,c2b1,c2d3,c5d4,5,-18.94140625,-17.296875,-17.609375,-1.64453125,False,False,True,False
Twkjy,brief,e4e3,e3e2,b7c6,4,-20.5390625,-16.951171875,-18.484375,-3.587890625,False,False,True,False
bKS8S,brief,c6f6,c6c5,e8e5,5,-18.375,-13.9140625,-14.4482421875,-4.4609375,False,False,True,False
b5fDe,brief,h7h6,e7e6,e7e6,3,-12.17578125,-9.62890625,-9.62890625,-2.546875,False,True,True,True
kQy45,brief,f3f2,f3f6,f3f2,1,-18.7734375,-18.7734375,-25.2109375,0.0,True,True,True,False
UztgU,brief,g8f7,a1a4,g8h8,3,-19.15625,-15.5234375,-25.4375,-3.6328125,False,True,True,False
8sE0T,brief,d7c6,d2d7,d7d8,2,-12.3984375,-11.25,-16.1953125,-1.1484375,False,True,True,False
nJvGB,brief,f3g4,f4f5,f3e2,5,-20.953125,-17.166015625,-18.046875,-3.787109375,False,False,True,False
6uPrP,brief,e4d3,e4d3,e4e5,4,-18.96875,-16.5047607421875,-18.96875,-2.4639892578125,False,False,True,False
2jYi7,brief,d5d4,d5d4,d5d4,1,-13.1572265625,-13.1572265625,-13.1572265625,0.0,True,True,True,True
L9eN5,brief,d3c3,,d3c3,1,-16.07421875,-16.07421875,,0.0,True,True,True,False
SX2rv,brief,f6g5,e5e4,g7g6,5,-22.2578125,-11.8671875,-13.728515625,-10.390625,False,False,True,False
ELuQg,brief,f8e7,f7f6,g7g6,5,-17.703125,-11.11181640625,-17.298828125,-6.59130859375,False,False,True,False
dtp9f,brief,c2g6,c2c3,e7e6,7,-22.125,-7.68359375,-8.154296875,-14.44140625,False,False,False,False
i10NI,brief,b3a4,c4c5,f2f3,7,-22.875,-10.29296875,-17.21875,-12.58203125,False,False,False,False
k8YpU,brief,e5e4,d2d3,d2d3,4,-14.671875,-9.58203125,-9.58203125,-5.08984375,False,False,True,True
ncaqo,brief,g5g6,g5g4,g7g8,4,-18.8828125,-16.515625,-17.88671875,-2.3671875,False,False,True,False
w1v9S,brief,d5d6,d5d6,d5d6,1,-15.6171875,-15.6171875,-15.6171875,0.0,True,True,True,True
VYJU3,brief,d3a6,b6b7,d3e4,6,-24.171875,-18.064453125,-21.5234375,-6.107421875,False,False,False,False
3P3lL,brief,h2h4,b3b4,h2h4,1,-15.8125,-15.8125,-18.9638671875,0.0,True,True,True,False
URiVe,brief,b1b4,b5b7,b5c6,2,-21.375,-18.578125,-25.1015625,-2.796875,False,True,True,False
tyrhq,brief,e7d7,e7d7,c8d8,3,-17.046875,-14.609375,-17.046875,-2.4375,False,True,True,False
SbvGn,brief,d5e4,e5e6,d5d4,4,-17.015625,-13.8447265625,-15.609375,-3.1708984375,False,False,True,False
PfZob,brief,f7e7,f7f6,h2h4,3,-21.2734375,-15.59375,-20.15625,-5.6796875,False,True,True,False
HyQm3,brief,f3f2,g2g1q,g2g3,5,-18.943359375,-9.78857421875,-18.65625,-9.15478515625,False,False,True,False
Da4qD,brief,e6d6,f3f2,e6e7,3,-18.84375,-16.828125,-19.875,-2.015625,False,True,True,False
Ftwet,brief,d7b6,d7e5,d7f6,5,-14.9765625,-12.27392578125,-13.25,-2.70263671875,False,False,True,False
zDoiQ,brief,g7g8,a2a1q,g7g8,1,-16.90625,-16.90625,-27.734375,0.0,True,True,True,False
kIjcJ,brief,a7a5,d2d3,d2d3,7,-17.34375,-9.63671875,-9.63671875,-7.70703125,False,False,False,True
vOyHq,brief,f3e4,f4e3,f3e4,1,-18.203125,-18.203125,-18.9375,0.0,True,True,True,False
apctn,brief,g7g6,,g7g6,1,-12.927734375,-12.927734375,,0.0,True,True,True,False
5Zepl,brief,e6e7,c1c8,h2h3,4,-19.21875,-11.078125,-20.140625,-8.140625,False,False,True,False
gYZU2,brief,a7b8,a7a6,a7a6,4,-24.203125,-13.985107421875,-13.985107421875,-10.218017578125,False,False,True,True
yIzoA,brief,d1d2,d6d7,d1d2,1,-9.38916015625,-9.38916015625,-15.796875,0.0,True,True,True,False
U8IpH,brief,a8h8,a7a8q,a8e8,3,-14.97265625,-12.97406005859375,-24.84375,-1.99859619140625,False,True,True,False
ZHIgj,brief,d7e7,h4h3,d7e7,1,-13.7421875,-13.7421875,-22.765625,0.0,True,True,True,False
E04eO,brief,e1e2,f4f7,e1e2,1,-9.443359375,-9.443359375,-24.8203125,0.0,True,True,True,False
77KFr,brief,b5c6,a5a4,h6h5,4,-20.3046875,-18.501953125,-18.6953125,-1.802734375,False,False,True,False
GKpUv,brief,a8b8,b4b2,a8e8,6,-16.1787109375,-12.3712158203125,-22.53125,-3.8074951171875,False,False,False,False
R2Ztu,brief,g1f1,g4g5,g1f1,1,-16.1484375,-16.1484375,-18.1795654296875,0.0,True,True,True,False
HbVvI,brief,a1c1,a3a4,f1c1,4,-17.537841796875,-16.40625,-17.35546875,-1.131591796875,False,False,True,False
