puzzle_id,prompt_style,book_move,generated_move,topprob_move,book_move_rank,book_move_logprob,topprob_logprob,generated_move_logprob,margin_book_vs_top,book_move_in_top1,book_move_in_top3,book_move_in_top5,generated_equals_topprob
itDJv,scoring_only,g2f1,,g2f1,1,-21.28125,-21.28125,,0.0,True,True,True,False
WWNuA,scoring_only,h7h8,,g7g6,2,-19.22265625,-18.765625,,-0.45703125,False,True,True,False
27mZU,scoring_only,b4e1,,e6d7,7,-25.078125,-19.6796875,,-5.3984375,False,False,False,False
GjeRT,scoring_only,g4f3,,e8d8,7,-23.90625,-19.3046875,,-4.6015625,False,False,False,False
vDBk4,scoring_only,b7b5,,b7b5,1,-18.20703125,-18.20703125,,0.0,True,True,True,False
dZAWw,scoring_only,b8b6,,g8f8,3,-20.4453125,-19.15625,,-1.2890625,False,True,True,False
QwfQg,scoring_only,e2e4,,e2e4,1,-14.8544921875,-14.8544921875,,0.0,True,True,True,False
qddOZ,scoring_only,d4c5,,g7g6,6,-23.5625,-19.3046875,,-4.2578125,False,False,False,False
LQ1DK,scoring_only,e6e5,,e6e5,1,-17.93359375,-17.93359375,,0.0,True,True,True,False
Aveae,scoring_only,e6e5,,c7b5,2,-17.58984375,-16.890625,,-0.69921875,False,True,True,False
Uvvcu,scoring_only,c7c8q,,d7d8,5,-23.046875,-20.078125,,-2.96875,False,False,True,False
ki2l1,scoring_only,c2c5,,c2c5,1,-19.31640625,-19.31640625,,0.0,True,True,True,False
MJWFH,scoring_only,b5b4,,a6a5,2,-21.17578125,-19.92578125,,-1.25,False,True,True,False
DdeT2,scoring_only,b4b3,,g8g7,7,-25.25,-17.6171875,,-7.6328125,False,False,False,False
T3WAo,scoring_only,g7b7,,g7g8,6,-23.1484375,-18.90234375,,-4.24609375,False,False,False,False
T1Yv7,scoring_only,c4b5,,c4c5,4,-21.8671875,-20.00390625,,-1.86328125,False,False,True,False
p2RG8,scoring_only,a5b4,,a5b4,1,-21.828125,-21.828125,,0.0,True,True,True,False
gXW2k,scoring_only,b3b2,,c3c4,6,-24.53125,-20.5234375,,-4.0078125,False,False,False,False
xQNjx,scoring_only,e3h3,,e7e8,7,-25.6484375,-16.421875,,-9.2265625,False,False,False,False
shDt9,scoring_only,f5f6,,f5f6,1,-21.265625,-21.265625,,0.0,True,True,True,False
y4vck,scoring_only,f3e4,,g6g7,4,-23.0546875,-22.3203125,,-0.734375,False,False,True,False
mWLmD,scoring_only,g4d1,,h5g6,7,-25.9375,-21.5546875,,-4.3828125,False,False,False,False
TbN5O,scoring_only,d3e5,,g7g5,7,-23.6328125,-17.8515625,,-5.78125,False,False,False,False
vJaUr,scoring_only,b3b8,,a8a7,3,-24.890625,-17.8984375,,-6.9921875,False,True,True,False
ayVZn,scoring_only,d7c6,,d7d8,2,-18.0390625,-17.9140625,,-0.125,False,True,True,False
Jvi0t,scoring_only,g5g4,,f6f5,4,-22.1328125,-19.28125,,-2.8515625,False,False,True,False
ON7OP,scoring_only,b4b5,,b4b5,1,-23.828125,-23.828125,,0.0,True,True,True,False
LIlmt,scoring_only,c2b1,,c2b1,1,-19.0625,-19.0625,,0.0,True,True,True,False
Twkjy,scoring_only,e4e3,,b7c6,3,-21.515625,-20.5234375,,-0.9921875,False,True,True,False
bKS8S,scoring_only,c6f6,,e8e5,5,-23.640625,-18.7578125,,-4.8828125,False,False,True,False
b5fDe,scoring_only,h7h6,,e7e8,4,-17.953125,-16.16796875,,-1.78515625,False,False,True,False
kQy45,scoring_only,f3f2,,g3f4,4,-25.25,-22.78515625,,-2.46484375,False,False,True,False
UztgU,scoring_only,g8f7,,g8h7,2,-16.828125,-16.8193359375,,-0.0087890625,False,True,True,False
8sE0T,scoring_only,d7c6,,d7d4,3,-20.4296875,-20.09375,,-0.3359375,False,True,True,False
nJvGB,scoring_only,f3g4,,f3e4,3,-23.83203125,-22.69921875,,-1.1328125,False,True,True,False
6uPrP,scoring_only,e4d3,,e4e5,6,-23.90625,-21.2734375,,-2.6328125,False,False,False,False
2jYi7,scoring_only,d5d4,,d5d4,1,-20.22265625,-20.22265625,,0.0,True,True,True,False
L9eN5,scoring_only,d3c3,,g3g4,4,-23.4296875,-21.8125,,-1.6171875,False,False,True,False
SX2rv,scoring_only,f6g5,,g7g5,5,-22.0078125,-16.9140625,,-5.09375,False,False,True,False
ELuQg,scoring_only,f8e7,,g7g6,3,-18.1162109375,-16.35546875,,-1.7607421875,False,True,True,False
dtp9f,scoring_only,c2g6,,e7e8,7,-26.8046875,-17.37890625,,-9.42578125,False,False,False,False
i10NI,scoring_only,b3a4,,f2f3,3,-23.26953125,-19.27734375,,-3.9921875,False,True,True,False
k8YpU,scoring_only,e5e4,,e7e8,4,-19.6796875,-17.13671875,,-2.54296875,False,False,True,False
