puzzle_id,prompt_style,book_move,generated_move,topprob_move,book_move_rank,book_move_logprob,topprob_logprob,generated_move_logprob,margin_book_vs_top,book_move_in_top1,book_move_in_top3,book_move_in_top5,generated_equals_topprob
itDJv,scoring_only,g2f1,,d5e6,4,-19.2578125,-17.234375,,-2.0234375,False,False,True,False
WWNuA,scoring_only,h7h8,,g7g6,2,-15.515625,-14.26171875,,-1.25390625,False,True,True,False
27mZU,scoring_only,b4e1,,b4c3,7,-21.984375,-14.990234375,,-6.994140625,False,False,False,False
GjeRT,scoring_only,g4f3,,g4f3,1,-15.10546875,-15.10546875,,0.0,True,True,True,False
vDBk4,scoring_only,b7b5,,g6h5,3,-16.23046875,-15.552734375,,-0.677734375,False,True,True,False
dZAWw,scoring_only,b8b6,,g8f8,6,-19.75,-16.296875,,-3.453125,False,False,False,False
QwfQg,scoring_only,e2e4,,e2e4,1,-14.51904296875,-14.51904296875,,0.0,True,True,True,False
qddOZ,scoring_only,d4c5,,g7g6,6,-18.8828125,-14.033203125,,-4.849609375,False,False,False,False
LQ1DK,scoring_only,e6e5,,e6e5,1,-14.326171875,-14.326171875,,0.0,True,True,True,False
Aveae,scoring_only,e6e5,,e6e5,1,-14.77734375,-14.77734375,,0.0,True,True,True,False
Uvvcu,scoring_only,c7c8q,,d7d8,3,-18.05859375,-16.40283203125,,-1.65576171875,False,True,True,False
ki2l1,scoring_only,c2c5,,b6a5,6,-20.84765625,-17.529296875,,-3.318359375,False,False,False,False
MJWFH,scoring_only,b5b4,,b5c4,2,-16.080078125,-15.267578125,,-0.8125,False,True,True,False
DdeT2,scoring_only,b4b3,,g8g7,2,-16.890625,-16.16015625,,-0.73046875,False,True,True,False
T3WAo,scoring_only,g7b7,,g7g8,6,-20.03125,-13.9140625,,-6.1171875,False,False,False,False
T1Yv7,scoring_only,c4b5,,c4c3,6,-18.9609375,-15.46484375,,-3.49609375,False,False,False,False
p2RG8,scoring_only,a5b4,,e3f5,5,-18.28125,-16.3984375,,-1.8828125,False,False,True,False
gXW2k,scoring_only,b3b2,,b3b2,1,-16.009765625,-16.009765625,,0.0,True,True,True,False
xQNjx,scoring_only,e3h3,,e7e8,6,-19.203125,-14.5224609375,,-4.6806640625,False,False,False,False
shDt9,scoring_only,f5f6,,f4d6,2,-18.06640625,-18.015625,,-0.05078125,False,True,True,False
y4vck,scoring_only,f3e4,,g6h7,6,-19.2109375,-15.484375,,-3.7265625,False,False,False,False
mWLmD,scoring_only,g4d1,,g4f3,6,-18.5,-14.6875,,-3.8125,False,False,False,False
TbN5O,scoring_only,d3e5,,h4h3,5,-18.5,-14.544921875,,-3.955078125,False,False,True,False
vJaUr,scoring_only,b3b8,,a8a7,2,-19.62890625,-19.61328125,,-0.015625,False,True,True,False
ayVZn,scoring_only,d7c6,,g5f4,3,-18.49609375,-15.46484375,,-3.03125,False,True,True,False
