section,prompt_condition,n,recoverable_exact,recoverable_top3,avg_engine_delta_cp,avg_specificity
bishop_endings,brief,13,0.15384615384615385,0.3076923076923077,20122.2,0.20812728351486093
bishop_endings,calc,13,0.3076923076923077,0.38461538461538464,-14.0,0.27710549628909503
bishop_endings,teaching,14,0.3076923076923077,0.3076923076923077,272.4,0.2054489288577507
bishop_vs_knight_endings,brief,5,0.0,0.2,,0.22938113196641957
bishop_vs_knight_endings,calc,7,0.42857142857142855,0.42857142857142855,275.5,0.2637372521481447
bishop_vs_knight_endings,teaching,7,0.2857142857142857,0.7142857142857143,291.0,0.20192070972763246
bishop_vs_pawns,brief,1,1.0,1.0,0.0,0.24390243902439024
bishop_vs_pawns,calc,1,0.0,0.0,597.0,0.24324324324324326
bishop_vs_pawns,teaching,1,0.0,0.0,594.0,0.15853658536585366
knight_endings,brief,10,0.2,0.4,384.3333333333333,0.187114239795151
knight_endings,calc,10,0.2,0.4,12786.5,0.30784652689475517
knight_endings,teaching,10,0.3,0.7,14478.142857142857,0.24002631535464775
pawn_endings,brief,40,0.475,0.65,380.4166666666667,0.17231976847140806
pawn_endings,calc,40,0.45,0.625,352.53333333333336,0.3185311417186924
pawn_endings,teaching,40,0.525,0.65,398.7857142857143,0.19916024571578544
queen_endings,brief,7,0.14285714285714285,0.42857142857142855,17066.333333333332,0.15700223991195386
queen_endings,calc,7,0.2857142857142857,0.5714285714285714,20408.6,0.3367530942205539
queen_endings,teaching,7,0.2857142857142857,0.2857142857142857,17159.333333333332,0.1896260821869288
queen_rook_endings,brief,63,0.3870967741935484,0.5,18361.0,0.22026902704945506
queen_rook_endings,calc,63,0.2857142857142857,0.3333333333333333,25371.928571428572,0.3139980605821954
queen_rook_endings,teaching,64,0.296875,0.40625,23462.384615384617,0.20610842745922808
rook_endings,brief,55,0.5094339622641509,0.5471698113207547,11782.423076923076,0.19397477852995348
rook_endings,calc,54,0.5,0.5185185185185185,4776.136363636364,0.32292284513577674
rook_endings,teaching,56,0.4727272727272727,0.5272727272727272,10571.103448275862,0.2037963939909452
